feature	PT1	PT2	PT3
A1BG	36	92	248
A1BG-AS1	0	0	0
A1CF	0	0	4
A2M	10	6	880
A2M-AS1	0	0	2
A2ML1	38	0	2
A2MP1	0	0	0
A3GALT2	0	0	0
A4GALT	0	0	2
A4GNT	0	0	0
AA06	0	0	0
AAAS	124	80	0
AACS	0	118	4
AACSP1	0	0	2
AADAC	0	0	4
AADACL2	0	0	0
AADACL2-AS1	0	0	0
AADACL3	0	0	4
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	0	0	4
AAED1	0	4	0
AAGAB	48	0	8
AAK1	54	788	264
AAMDC	86	168	0
AAMP	0	16	30
AANAT	0	0	58
AAR2	164	328	0
AARD	0	0	0
AARS	6	18	5640
AARS2	0	0	4
AARSD1	0	0	0
AASDH	154	294	8
AASDHPPT	62	158	0
AASS	2	0	0
AATBC	50	0	8
AATF	84	290	12
AATK	0	80	8
AATK-AS1	0	0	4
ABALON	0	2	0
ABAT	0	98	1578
ABCA1	164	24	2
ABCA10	0	0	0
ABCA11P	0	2	0
ABCA12	0	0	12
ABCA13	0	4	20
ABCA17P	0	0	2
ABCA2	0	14	12
ABCA3	0	0	26
ABCA4	0	0	14
ABCA5	2	110	2
ABCA6	0	0	2
ABCA7	398	1132	2332
ABCA8	0	0	8
ABCA9	0	0	4
ABCA9-AS1	0	0	0
ABCB1	0	0	2
ABCB10	794	480	134
ABCB11	0	0	4
ABCB4	56	0	6
ABCB5	0	0	0
ABCB6	0	16	0
ABCB7	42	290	0
ABCB8	96	0	12
ABCB9	0	128	222
ABCC1	12	2	6
ABCC10	0	0	32
ABCC11	0	0	2
ABCC12	0	0	0
ABCC13	0	0	4
ABCC2	2	0	8
ABCC3	4	268	30
ABCC4	0	0	1120
ABCC5	32	584	34
ABCC5-AS1	0	0	0
ABCC6	0	0	28
ABCC6P1	0	0	0
ABCC6P2	0	0	0
ABCC8	0	456	12
ABCC9	0	0	2
ABCD1	10	4	0
ABCD2	42	0	2
ABCD3	0	358	0
ABCD4	940	84	8
ABCE1	86	84	0
ABCF1	60	846	10
ABCF2	188	220	16
ABCF3	0	130	0
ABCG1	44	118	14
ABCG2	0	0	2
ABCG4	0	0	8
ABCG5	2	0	8
ABCG8	0	0	6
ABHD1	0	0	2
ABHD10	2	0	0
ABHD11	6	180	12
ABHD11-AS1	0	0	0
ABHD12	8	30	22
ABHD12B	16	2	0
ABHD13	0	8	0
ABHD14A	70	374	2
ABHD14A-ACY1	0	0	0
ABHD14B	314	872	4
ABHD15	272	394	2
ABHD16A	274	1292	98
ABHD16B	2	0	4
ABHD17A	10	446	8
ABHD17B	78	78	0
ABHD17C	0	0	0
ABHD2	142	518	4
ABHD3	4	870	4
ABHD4	98	356	2
ABHD5	24	1010	4
ABHD6	0	28	4
ABHD8	0	0	0
ABI1	444	412	2
ABI2	0	164	2
ABI3	98	1240	0
ABI3BP	0	0	0
ABL1	46	244	10
ABL2	0	2	0
ABLIM1	128	1020	6
ABLIM2	10	0	14
ABLIM3	0	18	78
ABO	0	22	2
ABR	818	1818	134
ABRA	0	0	0
ABRACL	1122	946	0
